Date,Spot,Expiry,DaysToExpiry,CallDelta,PutDelta,PerpDelta,TotalDelta,Cost,Value,UnrealizedPnL,RealizedPnL,TotalAsset,Return
2023-08-28,26106.150390625,2023-09-29,32,1.3708750844398262e+178,-3.7222728629409185e+178,0.0,,1.514006427002545e+182,1.4513500239239147e+182,-6.265640307863035e+180,-1.6137913071152141e+183,1.4513500239239147e+182,-0.04138450270827354
2023-08-29,27727.392578125,2023-09-29,31,2.1462003582366735e+178,-3.302797415403175e+178,0.0,,1.514006427002545e+182,1.5860340650249263e+182,7.202763802238126e+180,-1.6137913071152141e+183,1.5860340650249263e+182,0.04757419568223553
2023-08-30,27297.265625,2023-09-29,30,1.658531020629795e+178,-3.402981001827706e+178,0.0,,1.514006427002545e+182,1.0796412677046851e+182,-4.3436515929785995e+181,-1.6137913071152141e+183,1.0796412677046851e+182,-0.28689783051834417
2023-08-31,25931.47265625,2023-09-29,29,1.2344779947647129e+178,-4.180066074351061e+178,0.0,,1.514006427002545e+182,7.835162121496561e+181,-7.30490214852889e+181,-1.6137913071152141e+183,7.835162121496561e+181,-0.4824881861955669
2023-09-01,25800.724609375,2023-10-27,56,2.9522372276308e+178,-2.447615209797082e+178,0.0,,9.045788428673402e+181,9.045788428673402e+181,0.0,-1.6747340655287346e+183,9.045788428673402e+181,0.0
2023-09-02,25868.798828125,2023-10-27,55,2.978586583808005e+178,-2.3756750751814687e+178,0.0,,9.045788428673402e+181,1.4346172343133332e+182,5.30038391445993e+181,-1.6747340655287346e+183,1.4346172343133332e+182,0.5859504626107257
2023-09-03,25969.56640625,2023-10-27,54,2.9962500175353003e+178,-2.377840430029887e+178,0.0,,9.045788428673402e+181,1.2136736817733855e+182,3.0909483890604527e+181,-1.6747340655287346e+183,1.2136736817733855e+182,0.3417002744904738
2023-09-04,25812.416015625,2023-10-27,53,2.946359122490078e+178,-2.3972976403961087e+178,0.0,,9.045788428673402e+181,1.2266462699888806e+182,3.220674271215404e+181,-1.6747340655287346e+183,1.2266462699888806e+182,0.3560412999497633
2023-09-05,25779.982421875,2023-10-27,52,2.879270184927089e+178,-2.4414562743018124e+178,0.0,,9.045788428673402e+181,1.3006786994510235e+182,3.960998565836833e+181,-1.6747340655287346e+183,1.3006786994510235e+182,0.4378831759187771
2023-09-06,25753.236328125,2023-10-27,51,2.9050285103973213e+178,-2.4910670435614604e+178,0.0,,9.045788428673402e+181,1.0622647571921248e+182,1.5768591432478463e+181,-1.6747340655287346e+183,1.0622647571921248e+182,0.174319702000713
2023-09-07,26240.1953125,2023-10-27,50,3.0991969518936235e+178,-2.280832504342366e+178,0.0,,9.045788428673402e+181,1.527492092522322e+182,6.229132496549817e+181,-1.6747340655287346e+183,1.527492092522322e+182,0.6886223954569477
2023-09-08,25905.654296875,2023-10-27,49,2.95577464219825e+178,-2.4139363220546765e+178,0.0,,9.045788428673402e+181,1.2987854703978838e+182,3.942066275305436e+181,-1.6747340655287346e+183,1.2987854703978838e+182,0.43579023612909706
2023-09-09,25895.677734375,2023-10-27,48,2.9666567109257218e+178,-2.3980480349854188e+178,0.0,,9.045788428673402e+181,1.3336764798271337e+182,4.290976369597935e+181,-1.6747340655287346e+183,1.3336764798271337e+182,0.47436178763548886
2023-09-10,25832.2265625,2023-10-27,47,2.9474355825170973e+178,-2.434115956531597e+178,0.0,,9.045788428673402e+181,1.2028231574850137e+182,2.9824431461767356e+181,-1.6747340655287346e+183,1.2028231574850137e+182,0.32970516276093376
2023-09-11,25162.654296875,2023-10-27,46,2.6582871493532497e+178,-2.7422124804039732e+178,0.0,,9.045788428673402e+181,1.47781771476281e+182,5.7323887189546975e+181,-1.6747340655287346e+183,1.47781771476281e+182,0.6337080249173341
2023-09-12,25833.34375,2023-10-27,45,2.9380785806597923e+178,-2.4363511649691243e+178,0.0,,9.045788428673402e+181,1.2711204070807186e+182,3.665415642133784e+181,-1.6747340655287346e+183,1.2711204070807186e+182,0.40520687290398305
2023-09-13,26228.32421875,2023-10-27,44,3.084547391401246e+178,-2.2808921114487695e+178,0.0,,9.045788428673402e+181,1.1637072526730322e+182,2.5912840980569205e+181,-1.6747340655287346e+183,1.1637072526730322e+182,0.28646304503906483
2023-09-14,26539.673828125,2023-10-27,43,3.2089180248969886e+178,-2.189447861685765e+178,0.0,,9.045788428673402e+181,1.4567631210245755e+182,5.521842781572353e+181,-1.6747340655287346e+183,1.4567631210245755e+182,0.610432448770212
2023-09-15,26608.693359375,2023-10-27,42,3.23061014568329e+178,-2.1633461486801932e+178,0.0,,9.045788428673402e+181,1.594782753070874e+182,6.902039102035338e+181,-1.6747340655287346e+183,1.594782753070874e+182,0.7630113346623504
2023-09-16,26568.28125,2023-10-27,41,3.219448648288062e+178,-2.1800546764008767e+178,0.0,,9.045788428673402e+181,1.6186223814869546e+182,7.140435386196144e+181,-1.6747340655287346e+183,1.6186223814869546e+182,0.7893657299746635
2023-09-17,26534.1875,2023-10-27,40,3.2133474373679156e+178,-2.1898692103354483e+178,0.0,,9.045788428673402e+181,1.5567045949705047e+182,6.521257521031645e+181,-1.6747340655287346e+183,1.5567045949705047e+182,0.720916432265928
2023-09-18,26754.28125,2023-10-27,39,3.2937931989238646e+178,-2.1096964753334825e+178,0.0,,9.045788428673402e+181,1.136258746257453e+182,2.316799033901128e+181,-1.6747340655287346e+183,1.136258746257453e+182,0.2561190826172015
2023-09-19,27211.1171875,2023-10-27,38,3.45815065065546e+178,-1.9117200004481766e+178,0.0,,9.045788428673402e+181,1.2283707043106973e+182,3.2379186144335708e+181,-1.6747340655287346e+183,1.2283707043106973e+182,0.3579476393865231
2023-09-20,27132.0078125,2023-10-27,37,3.527802843237076e+178,-1.9701004170378445e+178,0.0,,9.045788428673402e+181,1.1309616877879491e+182,2.263828449206089e+181,-1.6747340655287346e+183,1.1309616877879491e+182,0.25026325422670626
2023-09-21,26567.6328125,2023-10-27,36,3.218009247475697e+178,-2.1782195303975713e+178,0.0,,9.045788428673402e+181,1.3128361948896187e+182,4.0825735202227855e+181,-1.6747340655287346e+183,1.3128361948896187e+182,0.45132312704571076
2023-09-22,26579.568359375,2023-10-27,35,3.2386663939419005e+178,-2.1594884880252033e+178,0.0,,9.045788428673402e+181,1.4419377932773394e+182,5.373589504099992e+181,-1.6747340655287346e+183,1.4419377932773394e+182,0.5940432441540144
2023-09-23,26579.390625,2023-10-27,34,3.231663937570622e+178,-2.173963457718009e+178,0.0,,9.045788428673402e+181,1.0174824128729215e+182,1.1290357000558134e+181,-1.6747340655287346e+183,1.0174824128729215e+182,0.12481341001487367
2023-09-24,26256.826171875,2023-10-27,33,3.097096881502511e+178,-2.2954299982090633e+178,0.0,,9.045788428673402e+181,1.472573473097027e+182,5.679946302296868e+181,-1.6747340655287346e+183,1.472573473097027e+182,0.6279105848079019
2023-09-25,26298.48046875,2023-10-27,32,3.123677888093249e+178,-2.2766497888885947e+178,0.0,,9.045788428673402e+181,9.869790499910311e+181,8.24002071236909e+180,-1.6747340655287346e+183,9.869790499910311e+181,0.09109234399347454
2023-09-26,26217.25,2023-10-27,31,3.0803436042816616e+178,-2.309871818263589e+178,0.0,,9.045788428673402e+181,1.134379824498803e+182,2.2980098163146283e+181,-1.6747340655287346e+183,1.134379824498803e+182,0.2540419593531926
2023-09-27,26352.716796875,2023-10-27,30,3.1445728505877814e+178,-2.2533427320353866e+178,0.0,,9.045788428673402e+181,1.1482479248183168e+182,2.436690819509766e+181,-1.6747340655287346e+183,1.1482479248183168e+182,0.2693729616520686
2023-09-28,27021.546875,2023-10-27,29,3.477204815416718e+178,-1.9879339634354013e+178,0.0,,9.045788428673402e+181,1.0935030533676539e+182,1.889242105003137e+181,-1.6747340655287346e+183,1.0935030533676539e+182,0.20885322710120047
2023-09-29,26911.720703125,2023-10-27,28,3.3662122900260355e+178,-2.003849319260308e+178,0.0,,9.045788428673402e+181,1.2763238581028077e+182,3.7174501523546755e+181,-1.6747340655287346e+183,1.2763238581028077e+182,0.41095921949391134
2023-09-30,26967.916015625,2023-10-27,27,3.469657650904011e+178,-1.979699138844101e+178,0.0,,9.045788428673402e+181,1.5034400634379815e+182,5.988612205706413e+181,-1.6747340655287346e+183,1.5034400634379815e+182,0.6620331940026001
2023-10-01,27983.75,2023-11-24,54,2.9323110835021848e+178,-2.4177215782513593e+178,0.0,,1.0326815350518162e+182,1.0326815350518162e+182,0.0,-1.661923796310287e+183,1.0326815350518162e+182,0.0
2023-10-02,27530.78515625,2023-11-24,53,2.79515452509817e+178,-2.562404037496941e+178,0.0,,1.0326815350518162e+182,1.2877040888581406e+182,2.550225538063244e+181,-1.661923796310287e+183,1.2877040888581406e+182,0.24695179021819946
2023-10-03,27429.978515625,2023-11-24,52,2.704246506467557e+178,-2.679712652712258e+178,0.0,,1.0326815350518162e+182,1.3446702849962543e+182,3.119887499444381e+181,-1.661923796310287e+183,1.3446702849962543e+182,0.3021151626660814
2023-10-04,27799.39453125,2023-11-24,51,2.863604197530425e+178,-2.5215011946521848e+178,0.0,,1.0326815350518162e+182,1.5023920036568894e+182,4.697104686050732e+181,-1.661923796310287e+183,1.5023920036568894e+182,0.4548454220027327
2023-10-05,27415.912109375,2023-11-24,50,2.7477581978693136e+178,-2.589921189348983e+178,0.0,,1.0326815350518162e+182,1.554536081142931e+182,5.218545460911149e+181,-1.661923796310287e+183,1.554536081142931e+182,0.5053392826133278
2023-10-06,27946.59765625,2023-11-24,49,2.912214311326397e+178,-2.4551340654579805e+178,0.0,,1.0326815350518162e+182,9.498401763871137e+181,-8.2841358664702485e+180,-1.661923796310287e+183,9.498401763871137e+181,-0.0802196571284155
2023-10-07,27968.83984375,2023-11-24,48,2.9225318919881726e+178,-2.4582968593328702e+178,0.0,,1.0326815350518162e+182,1.458858633710327e+182,4.2617709865851084e+181,-1.661923796310287e+183,1.458858633710327e+182,0.4126897636812368
2023-10-08,27935.08984375,2023-11-24,47,2.8989254062615994e+178,-2.489643199292891e+178,0.0,,1.0326815350518162e+182,1.4652996335110127e+182,4.326180984591965e+181,-1.661923796310287e+183,1.4652996335110127e+182,0.4189269235239006
2023-10-09,27583.677734375,2023-11-24,46,2.7298110078845404e+178,-2.614898444626872e+178,0.0,,1.0326815350518162e+182,8.377452131059332e+181,-1.9493632194588296e+181,-1.661923796310287e+183,8.377452131059332e+181,-0.18876712261162076
2023-10-10,27391.01953125,2023-11-24,45,2.7158301248315117e+178,-2.7277018838025803e+178,0.0,,1.0326815350518162e+182,1.526901415991148e+182,4.942198809393317e+181,-1.661923796310287e+183,1.526901415991148e+182,0.4785791787344522
2023-10-11,26873.3203125,2023-11-24,44,2.588172497354756e+178,-2.8440702832422748e+178,0.0,,1.0326815350518162e+182,1.2344401137225479e+182,2.017585786707317e+181,-1.661923796310287e+183,1.2344401137225479e+182,0.19537347364365165
2023-10-12,26756.798828125,2023-11-24,43,2.4508210111674857e+178,-2.919901705062694e+178,0.0,,1.0326815350518162e+182,1.4405786879927126e+182,4.078971529408965e+181,-1.661923796310287e+183,1.4405786879927126e+182,0.39498832805258766
2023-10-13,26862.375,2023-11-24,42,2.4950860249252842e+178,-2.9072457982500504e+178,0.0,,1.0326815350518162e+182,1.6091234072558076e+182,5.764418722039914e+181,-1.661923796310287e+183,1.6091234072558076e+182,0.55819906974038
2023-10-14,26861.70703125,2023-11-24,41,2.5111962704460242e+178,-2.8689954398719292e+178,0.0,,1.0326815350518162e+182,1.4472924127244828e+182,4.146108776726667e+181,-1.661923796310287e+183,1.4472924127244828e+182,0.40148958183111416
2023-10-15,27159.65234375,2023-11-24,40,2.5252520176941482e+178,-2.7488217716490313e+178,0.0,,1.0326815350518162e+182,1.3973946339513348e+182,3.647130988995186e+181,-1.661923796310287e+183,1.3973946339513348e+182,0.353170930747027
2023-10-16,28519.466796875,2023-11-24,39,3.1163689340660178e+178,-2.268231020489157e+178,0.0,,1.0326815350518162e+182,1.3358831643395723e+182,3.032016292877562e+181,-1.661923796310287e+183,1.3358831643395723e+182,0.29360613025054483
2023-10-17,28415.748046875,2023-11-24,38,3.073241004542314e+178,-2.3208290706073396e+178,0.0,,1.0326815350518162e+182,1.5053696453739603e+182,4.7268811032214414e+181,-1.661923796310287e+183,1.5053696453739603e+182,0.45772882953545446
2023-10-18,28328.341796875,2023-11-24,37,3.049184598104153e+178,-2.3384791179471724e+178,0.0,,1.0326815350518162e+182,1.583030116036301e+182,5.503485809844847e+181,-1.661923796310287e+183,1.583030116036301e+182,0.5329315595411226
2023-10-19,28719.806640625,2023-11-24,36,3.197399439970051e+178,-2.20973802419975e+178,0.0,,1.0326815350518162e+182,1.1384471704922375e+182,1.0576563544042129e+181,-1.661923796310287e+183,1.1384471704922375e+182,0.10241844348956453
2023-10-20,29682.94921875,2023-11-24,35,3.499246240141407e+178,-1.8458106187220823e+178,0.0,,1.0326815350518162e+182,1.6018864666576005e+182,5.692049316057844e+181,-1.661923796310287e+183,1.6018864666576005e+182,0.5511911584409455
2023-10-21,29918.412109375,2023-11-24,34,3.613629356819811e+178,-1.7938403584017247e+178,0.0,,1.0326815350518162e+182,1.6656313082764813e+182,6.3294977322466516e+181,-1.661923796310287e+183,1.6656313082764813e+182,0.6129186508529041
2023-10-22,29993.896484375,2023-11-24,33,3.655506753925577e+178,-1.736158203779436e+178,0.0,,1.0326815350518162e+182,1.2557846796093565e+182,2.231031445575403e+181,-1.661923796310287e+183,1.2557846796093565e+182,0.21604254262796108
2023-10-23,33086.234375,2023-11-24,32,4.556464678084937e+178,-9.146726697797799e+177,0.0,,1.0326815350518162e+182,1.4300076386949302e+182,3.97326103643114e+181,-1.661923796310287e+183,1.4300076386949302e+182,0.3847518234391376
